"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Produtos","Buscar produto","0","0","2","0","0"
"","Usuários","Criar usuário","0","0","3","0","0"
"","Carrinhos","Listar carrinhos","0","0","1","0","0"
"","Usuários","Atualizar usuário","0","0","1","0","0"
"","Produtos","Listar produtos","0","0","1","0","0"
"","Produtos","Criar produto","0","0","1","0","0"
"","Carrinhos","Buscar carrinho","0","0","2","0","0"
"","Usuários","Buscar usuário","0","0","2","0","0"
"","Usuários","Listar usuários","0","0","1","0","0"
"","Carrinhos","Cancelar compra","0","0","1","0","0"
"","Carrinhos","Concluir compra","0","0","1","0","0"
"","Usuários","Excluir usuário","0","0","1","0","0"
"","Produtos","Excluir produto","0","0","1","0","0"
"","Produtos","Atualizar produto","0","0","1","0","0"
